Index,Type,Weight,Price
133,Fish,1.08,4.31
134,Shrimp,2.29,29.71
135,Crab,1.59,28.53
136,Scallop,5.88,176.25
137,Shrimp,4.52,58.67
138,Fish,2.46,9.83
139,Shrimp,2.89,37.49
140,Fish,2.81,11.22
141,Shrimp,2.12,27.51
142,Shrimp,1.11,14.39
143,Shrimp,2.29,29.75
144,Fish,3.62,14.44
145,Crab,2.72,48.89
146,Fish,5.52,22.02
147,Fish,2.73,10.91
148,Fish,1.41,5.64
149,Fish,4.81,19.18
150,Shrimp,3.94,51.21
151,Scallop,1.77,53.19
152,Fish,2.31,9.24
153,Scallop,2.51,75.14
154,Fish,3.03,12.07
155,Fish,4.01,16.01
156,Shrimp,4.32,56.15
157,Fish,3.32,13.25
158,Fish,1.57,6.28
159,Crab,5.64,101.44
160,Fish,1.47,5.88
161,Scallop,3.10,92.96
162,Shrimp,2.19,28.45
163,Fish,2.90,11.57
164,Fish,2.75,10.96
165,Fish,4.91,19.59
166,Scallop,1.77,53.00
167,Crab,5.36,96.49
168,Fish,3.55,14.16
169,Crab,2.79,50.12
170,Scallop,4.51,135.24
171,Fish,4.20,16.77
172,Fish,4.22,16.86
173,Fish,2.45,9.79
174,Fish,3.07,12.26
175,Scallop,5.01,150.25
176,Fish,5.09,20.31
177,Fish,2.09,8.33
178,Shrimp,2.97,38.53
179,Crab,5.07,91.12
180,Fish,4.86,19.38
181,Crab,4.22,75.87
182,Fish,5.86,23.36
183,Shrimp,5.14,66.72
184,Fish,2.70,10.79
185,Shrimp,3.15,40.94
186,Crab,2.25,40.45
187,Fish,3.88,15.49
188,Scallop,3.73,111.95
189,Scallop,1.08,32.46
190,Fish,3.71,14.81
191,Shrimp,1.55,20.20
192,Fish,5.28,21.08
193,Scallop,3.98,119.22
194,Crab,2.60,46.70
195,Fish,3.67,14.64
196,Shrimp,3.89,50.52
197,Shrimp,3.70,48.09
198,Fish,1.07,4.28
199,Shrimp,1.79,23.30
200,Fish,5.24,20.90
201,Crab,4.73,85.13
202,Fish,4.21,16.80
203,Fish,3.97,15.82
204,Shrimp,4.61,59.86
205,Fish,3.28,13.10
206,Shrimp,4.10,53.31
207,Shrimp,2.78,36.05
208,Scallop,2.52,75.60
209,Crab,3.71,66.74
210,Fish,1.63,6.51
211,Shrimp,3.11,40.45
212,Crab,2.79,50.16
213,Fish,5.29,21.12
214,Crab,1.84,33.03
215,Fish,4.38,17.47
216,Shrimp,1.14,14.78
217,Scallop,2.48,74.27
218,Shrimp,5.98,77.73
219,Fish,3.48,13.90
220,Shrimp,1.30,16.84
221,Fish,5.17,20.64
222,Scallop,2.98,89.43
223,Fish,5.14,20.49
224,Crab,3.65,65.75
225,Fish,3.60,14.35
226,Fish,2.69,10.74
227,Fish,5.97,23.82
228,Fish,4.82,19.23
229,Fish,4.06,16.21
230,Shrimp,5.89,76.48
231,Shrimp,3.42,44.37
232,Shrimp,4.77,62.01
233,Scallop,4.72,141.55
234,Fish,2.92,11.64
235,Fish,1.75,6.97
236,Crab,3.59,64.60
237,Shrimp,5.85,75.93
238,Scallop,4.76,142.80
239,Crab,4.97,89.42
240,Fish,5.54,22.10
241,Scallop,5.05,151.31
242,Shrimp,3.87,50.30
243,Fish,3.92,15.64
244,Crab,2.67,48.09
245,Shrimp,4.16,54.08
246,Shrimp,4.55,59.12
247,Fish,5.74,22.90
248,Crab,5.01,90.09
249,Scallop,4.08,122.34
250,Fish,5.98,23.86
251,Fish,4.33,17.28
252,Fish,4.02,16.02
253,Fish,4.75,18.94
254,Fish,4.67,18.62
255,Scallop,2.29,68.57
256,Shrimp,1.36,17.72
257,Crab,3.24,58.24
258,Crab,3.98,71.65
259,Crab,1.39,25.08
260,Fish,5.49,21.92
261,Shrimp,4.24,55.14
262,Shrimp,3.20,41.56
263,Fish,1.21,4.85
264,Fish,4.48,17.86
265,Shrimp,3.18,41.30
266,Fish,4.09,16.30
267,Fish,3.37,13.44
268,Shrimp,5.39,69.98
269,Scallop,1.85,55.44
270,Fish,3.28,13.10
271,Crab,3.28,58.94
272,Fish,1.66,6.64
273,Fish,3.85,15.34
274,Shrimp,5.50,71.40
275,Fish,3.00,11.97
276,Fish,2.39,9.55
277,Crab,4.26,76.66
278,Fish,1.90,7.59
279,Fish,2.83,11.31
280,Shrimp,3.17,41.18
281,Fish,4.95,19.74
282,Shrimp,1.98,25.70
283,Fish,3.99,15.92
284,Scallop,5.24,157.12
285,Crab,3.14,56.54
286,Shrimp,3.62,46.97
287,Shrimp,3.66,47.56
288,Shrimp,3.31,43.04
289,Shrimp,2.16,28.04
290,Crab,2.42,43.61
291,Shrimp,2.19,28.51
292,Fish,2.28,9.09
293,Crab,1.85,33.27
294,Fish,2.51,10.00
295,Fish,2.88,11.50
296,Crab,2.69,48.43
297,Fish,3.49,13.91
298,Shrimp,3.94,51.15
299,Fish,4.88,19.47
